readability,difficult_words
7.2996654761904765,"['sảnh', '4f', 'sến', 'cây_xanh', 'toà', 'broadway_a', 'q', 'đại_bản_doanh', 'radio', 'sg', 'cảm_ơn', 'cảm_ơn', 'mc', 'thính_giả', 'nay', 'vững_bền', 'nhaaa', 'phủ_sóng', 'thính_giả', 'thân_yêu', 'ngần_ngại', 'sẻ', 'chúng_mình', '9h', '10h', 'hộp_thư', 'nhá', 'nhá']"
7.607366666666666,"['dã_man', 'tàn_bạo', 'ko', 'xị', 'dieu_linxi_duyen_nguyen', 'xone', 'life', '9h', 'ko', 'kẹt', 'ps', 'hnay', 'ko', 'kẹt', 'lòi', 'haha', 'xone', 'cười_cười']"
0.0,[]
7.3097666666666665,"['shop', 'share', 'sgon', 'rồiiii', 'mau', 'apply', 'tp']"
6.880881818181818,"['thẩm_định', 'nay', 'gameshow']"
0.0,[]
10.383772727272728,"['trân_trọng', 'xone', 'hậu_cung', 'xone', 'triện', 'quy_tụ', 'cast', 'bỉm', 'a_bảo', 'đảm', 'kịch_tính', 'xone_radio', '89mhz', 'xiem']"
8.00687922077922,"['nguyen_minh_cuong', 'lăn', 'emum', 'okela', 'rủ', 'ps', 'kí', 'díp', 'buồn_ngủ', 'đc', 'huyen_pham', 'yêu_thương']"
8.737083673469387,"['bóc', 'phốt', 'tiên_đồng', 'ngọc_nữ', 'showbiz', 'việt_dòm', 'ko', 'chớ', 'thương_nhớ', 'hồ_ngọc_hà', 'nè', 'mc', 'thời_sự', 'vn', 'host', 'xonefm', 'huyền', 'dùm', 'video_thôi', 'nôi', 'bắp', 'dồi', 'chả', 'ha_ha', 'gớm', 'emum', 'leo_lẻo', 'ôi', 'dồi', 'dồi', 'ko', 'gồng', 'dzăng', 'tút', 'tiện_thể', 'emum', 'couple', 'nhí_nhảnh', 'ha_ha']"
0.3472,[]
6.380102721088435,"['dã_man', 'nhaccuatui', 'top', 'bxh', 'ko', 'chần_chờ']"
0.0,[]
9.751790909090909,"['we', 're', 'back', 'you', 'xonefm', '89mhz', 'xone', 'khán_thính_giả', '89mhz', 'ơiiii', 'dò', 'apps', 'xone', 'livestream']"
6.714566666666666,"['ko', 'cảm_ơn', 'pham_quang_nam']"
7.814988888888889,"['nay', 'mãn_nguyện', 'cày', 'diên_hi_công_lược', 'chê', 'bái_phục']"
11.086572727272728,"['nay', 'ps', 'tí', 'lẩu', 'hồng_anh_đào']"
11.253166666666667,"['tụi', 'tui', 'xone', 'tụi', 'tui', 'trường_tồn', 'quậy']"
0.0,[]
7.591788888888889,"['ca_hát', 'ghê', 'hi_hi', 'team', 'mếch', 'úp']"
11.630700000000001,['diên_hy']
9.643833333333333,"['trời_ơi', 'hồ_ngọc_hà', 'o', 'o', 'o']"
6.710530769230769,"['nồng_nhiệt', 'kèn', 'hú', 'vang']"
10.431429411764706,"['giời_ơi', 'thằng', 'xuân_vọng', 'cất', 'bóp_cổ', 'huhu', 'ko', 'chúc_mừng', 'vn', 'kèn_trống', 'nẻo']"
6.00705,['chẳng_mấy_khi']
9.505504255319149,"['cn', 'fai', 'tự_túc', 'nhá', 'hội_thảo', 'dạo', 'no_nê', 'spa', 'mãn_nguyện', 'hehe', 'nguyen_minh_cuong', 'cứ_việc', 'xiền', 'mẹ_con']"
9.239748484848485,"['cười_sặc', 'chtr', 'tuổi_thơ', 'bố_mẹ', 'vtv_team', 'social', 'v', 'haha', 'nguyen_phuong', 'ghê']"
5.409952631578947,['lối_thoát']
9.364474999999999,"['link', 'diên_hi', 'cao_nhân', 'cứu_giúp', 'huhu']"
6.174945833333333,"['hụt', 'nmc', 'sờ', 'y_như', 'nệm', 'ko']"
9.881045454545454,"['dọn', 'đồ_dùng', 'chút_ít', 'date', 'ko', 'thanh_lý', 'e', 'ko', 'hoang_phí', 'up', 'cmt', 'hay_là', 'up', 'album', 'mng', 'có_son', 'dưỡng']"
9.346233333333332,"['r', 'ko', 'zẩy']"
11.067013043478262,"['váy', 'sole', 'è', 'lei_bridal', 'nguyễn_thuỳ_dương', 'bà_con', 'váy', 'hn', 'nong', 'nanh', 'nuôn', 'ko', 'cầu_kỳ', 'đính', 'nọ_kia', 'style', 'sole', 'tối_giản', 'form', 'dáng', 'cùng_đường', 'tỉ_mỉ', 'loại_ren', 'tinh_tế', 'kỹ_lưỡng', 'update', 'cô_dâu', 'váy', 'ghé', 'kẻo']"
6.444369230769231,"['ko', 'muôn_năm', 'fiu', 'ling', 'haha']"
7.4875842105263155,"['cô_dâu', 'up', 'váy', 'tâm_đắc', 'lội', 'đinh_hoài_thu_nguyen', 'minh_cuong']"
6.800504519774011,"['hn', 'cắm_đầu', 'bù', 'show', 'thôi_thì', 'cày', 'diên_hi', 'nay', 'ra_vẻ', 'tự_lập']"
0.0,[]
8.382389855072464,"['ko', 'tui', 'è', 'mê', 'mượt', 'ko', 'thắc_mắc', 'ơ', 'ko', 'ps', 'đại_bản_doanh', 'coan', 'sầu', 'bán_son', 'váy', 'kooo', 'è']"
0.0,[]
0.0,[]
11.099303755868545,"['hanoian', 'đoàn_viên', 'best', 'friend', 'đoàn_tụ', 'đei', 'nguyễn_thuỳ_dương', 'comeback', 'sole', 'è', 'váy', 'vóc', 'cô_dâu', 'tinh_tế', 'khang_trang', 'lộng_lẫy', 'nos', 'cosmetics', 'nay', 'tái_xuất', 'hoành_tráng', '_son', 'xịn', 'mỹ_phẩm', 'lột_xác', 'ngoạn_mục', 'phương_khánh_đào', 'hoạ', 'peachup_makeup_chị', 'make', 'up', 'book', 'kẻo', 'ko', 'nhá', 'thái_dũng', 'show', 'nhà_nghỉ', 'đùa', 'homestay', 'book_homesick_homestay', 'now', 'ngõ', '89c', 'lý_nam_đế', 'hoàn_kiếm']"
7.449375362318841,"['dinh_hong_minh', 'kaka', 'nay', 'chỉ_tiêu', 'nhá']"
6.776012820512821,"['nỗi_lòng', 'mìnhhhhhh', 'trời_ơi', 'cảm_ơn', 'hà_anh_khi', 'giời', 'cứng_nhắc', 'bứt_rứt', 'dăm_ba', 'rúc', 'tu', 'ngày_đêm', 'sờ', 'vậy_mà', 'tự_lập', 'phưowng', 'hứ']"
10.052641176470589,"['tí', 'nhẽo', 'biến_tấu', 'hehe', 'mouth', 'music']"
7.274843859649122,"['hô_hào', 'copywriter', 'nhá', 'ko']"
19.5257,"['ok', 'fine']"
7.275333333333333,"['trend', 'quote', 'nhẫn', 'v', 'kaka', 'hốt_hoảng', 'kaka', 'v', 'kaka', 'kaka', 'chu_du']"
9.495033333333332,"['combo', 'wonder', 'week', 'khíp', 'huhu', 'ww', 'phản_động', 'ko', 'bú', 'chui', 'ghê', 'bây']"
0.0,[]
7.868794339622642,"['ko', '8 ', 'huyền_phạm', 'thank', 'you', 'h', 'ko', 'trầm_trồ', 'xuýt_xoa', 'ko', 'là_son', 'là_son', 'thiệt', 'ngộ', 'son_nos', 'team', 'h', 'hihi', 'emum', 'huyền', 'bệnh_nghề_nghiệp', 'mĩ_phẩm', 'soi', 'kĩ', 'công_dụng', 'ko', 'cảm_ơn', '_son', 'ko', 'mĩ', 'mướt', 'mềm_môi', 'h', 'tô_son', 'cứ_son', 'mịn', 'h', 'ưng', 'ship', 'limited', 'edition', '3ce', '_son', 'nos', '8 ', 'nos', 'inbox', 'hoài_thu']"
7.322748148148148,"['vặn_vẹo', 'thức_giấc', 'tít_mắt', 'hít_hà', 'dụi', 'dụi', 'ngập_tràn', 'e', 'cữ', 'tu', 'hát_hò', 'líu_lo', 'bú', 'ko', 'phản_động', 'mừng_húm', 'ông_bà', 'bế', 'đến_nỗi', 'thế_là', 'ẵm', 'yêu_thương', 'sg', 'ko', 'ko', 'kaka', 'ch', 'v', 'kaka', 'chao_ôi', 'mỏi', 'lí_lắc', 'công_đoạn', 'chăm_bẵm', 'hihi', '8 ', 'òi', '8 ', 'yêu_thương']"
8.81357619047619,"['lẹ', 'lên_son', '8 ', 'ko', 'ạaaaaaaa', 'thỏi_son', 'hết_sẩy', 'hihi', 'order', 'điii', 'a']"
0.0,[]
8.7744,"['thằng', 'kaka', 'chả', 'ô_kê', 'ô_kê', 'sáng_ngời']"
8.184325000000001,"['ko', 'thgian', 'sin', 'cos', 'tan', 'ôi']"
19.5753,"['silence', 'is', 'golden']"
9.139761538461538,"['hn', 'bao_bọc', 'bảo_kê', 'ăn_làm']"
8.109370588235294,"['chộp', 'nè', 'nhân_tiện', 'bú', 'trêu', 'phỏng', 'mềnh', 'thành_phẩm', 'thế_mà', 'kí_lô', 'sập', 'ahuhu']"
7.2905,"['haha', 'nguyen_minh_cuong']"
0.0,[]
0.0,[]
